eta,Y,X,Phi,U,Pi,F_decimal,pressure_increment_decimal,log10_F,V0_over_X,angular_relative,axial_relative,pressure_relative
-0.6,3.8949999999999996,0.007607421874999999,0.2728071791006631,-2.8756344608370514,-54.06574394463668,2.59231005922756475963911e-142,2.758366644367152768327517e-285,-141.58631305490087,-0.4470156325416844,5.676432256625508e-26,8.709151574164447e-39,2.992178340782743e-22
-0.6,3.963333333333333,0.007740885416666666,0.2639891268151007,-2.884278106113501,-54.06574394463668,2.508517815496972743237349e-142,2.767048049380038656305396e-285,-141.60058281026528,-0.4350179512606997,8.583862522936881e-26,1.276845260581222e-38,4.971337623471149e-22
-0.6,4.031666666666666,0.007874348958333333,0.25529321403489924,-2.8929198776280844,-54.06574394463668,2.425886184435812413556013e-142,2.775172213966165484949534e-285,-141.6151295788326,-0.42302106426263836,1.2904190533303506e-25,1.8597755660356314e-38,8.1886230921163e-22
-0.6,4.1,0.0080078125,0.246718694518131,-2.9015597707700684,-54.06574394463668,2.344408074990021279810773e-142,2.782764985444730908258186e-285,-141.62996679142046,-0.41102497766288515,1.9289834913193576e-25,2.691771224339745e-38,1.3380692963662129e-21
0.0,0.0,0.0,1.0,0.02,-100.0,0.0001,0.0,-4.0,-4.0,3.6870075996938794e-82,2.7453634376355184e-82,0.0
0.0,0.06833333333333333,0.00013346354166666666,0.9997305298773905,0.020006019817072958,-99.99999999999866,0.00009997305298773904865997207,1.334275907161583931769104e-12,-4.000117045158082,-4.020688231033523,1.6421014199316072e-76,1.8569865491170046e-77,1.0735885353817231e-76
0.0,0.13666666666666666,0.0002669270833333333,0.9994605987441226,0.020012067552400113,-99.99999999999733,0.00009994605987441226519615226,2.667832104325312932493236e-12,-4.000234322191484,-4.041379232656802,6.87078631090444e-70,7.71587724041375e-71,4.5054227771239594e-70
0.0,0.205,0.000400390625,0.9991902068415425,0.02001814321428324,-99.99999999999599,0.00009991902068415424956909711,4.000667556238988988790751e-12,-4.000351831174674,-4.062073014530549,5.128191495955108e-66,5.719237637265755e-67,3.372733892255587e-66
0.0,0.2733333333333333,0.0005338541666666666,0.9989193544119708,0.02002424681103805,-99.99999999999467,0.0000998919354411970747892169,5.33278122929241250889775e-12,-4.000469572182049,-4.082769586317762,2.867940538285109e-63,3.17664680283332e-64,1.891792617966488e-63
0.0,0.3416666666666667,0.0006673177083333333,0.998648041698702,0.02003037835099422,-99.99999999999334,0.00009986480416987020405075833,6.664172091520985807279646e-12,-4.000587545287935,-4.103468957683744,3.877463566806581e-61,4.265801582800058e-62,2.565272313515019e-61
0.0,0.41,0.00080078125,0.9983762689460041,0.020036537842495376,-99.999999999992,0.00009983762689460040780365008,7.994839112609292673658979e-12,-4.000705750566587,-4.124171138296096,2.135482482354698e-59,2.3336287608042794e-60,1.4169710111834248e-59
0.0,0.4783333333333333,0.0009342447916666666,0.9981040363991168,0.02004272529389911,-99.99999999999068,0.00009981040363991167998966293,9.324781263894692003330737e-12,-4.0008241880921895,-4.144876137824726,6.3283402409453464e-58,6.869680641393698e-59,4.2114420875468594e-58
0.0,0.5466666666666666,0.0010677083333333333,0.9978313443042516,0.020048940713576994,-99.99999999998934,0.00009978313443042515432033604,1.065399751837088240222539e-11,-4.00094285793886,-4.165583965941851,1.191463206532118e-56,1.2848899718592957e-57,7.95233340184238e-57
0.0,0.615,0.001201171875,0.9975581929085902,0.020055184109914585,-99.99999999998802,0.00009975581929085901994574675,1.198248685069146969650469e-11,-4.001061760180641,-4.186294632322002,1.58638151284586e-55,1.6996464980222332e-56,1.0619190309689812e-55
0.0,0.6833333333333333,0.0013346354166666667,0.9972845824602844,0.02006145549131143,-99.99999999998668,0.00009972845824602843699248638,1.331024823717351396920163e-11,-4.001180894891509,-4.207008146642026,1.6071168596661147e-54,1.7107661709739365e-55,1.0789416156090979e-54
0.0,0.7516666666666666,0.0014680989583333332,0.9970105132084545,0.02006775486618107,-99.99999999998536,0.00009970105132084545133170102,1.463728065580108720973169e-11,-4.001300262145369,-4.227724518581092,1.3051639020504404e-53,1.3804686892458686e-54,8.787780160337344e-54
